code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
002364,0.482,0.8059,0.6224,0.5684
603833,0.4298,0.8055,0.7227,0.4367
300100,0.4849,0.8043,0.6275,0.4932
600819,0.4535,0.8022,0.655,0.5692
688330,0.42,0.8021,0.6117,0.5932
002598,0.4388,0.8019,0.613,0.5844
603085,0.4645,0.8008,0.5649,0.695
002701,0.4626,0.8007,0.6321,0.5117
301030,0.2981,0.8,1.088,0.4801
301019,0.3076,0.8,0.7299,0.5162
301059,0.3507,0.8,0.6236,0.5129
603689,0.4142,0.8,0.6576,0.4588
002651,0.4845,0.7985,0.594,0.5804
603105,0.443,0.7985,0.6987,0.562
002892,0.473,0.7981,0.5952,0.6149
603520,0.4989,0.798,0.6158,0.5193
002686,0.4549,0.797,0.7226,0.5788
300042,0.4647,0.7964,0.631,0.5657
300713,0.4709,0.7964,0.6663,0.5306
000823,0.4283,0.7963,0.6283,0.5386
688018,0.49,0.7963,0.6258,0.4799
688339,0.409,0.7961,0.6135,0.5966
300929,0.4043,0.7959,0.581,0.6828
688333,0.4769,0.7951,0.6536,0.4609
603165,0.4694,0.7941,0.5902,0.6123
601168,0.5029,0.7941,0.6461,0.4922
300026,0.4416,0.7941,0.7278,0.4074
603699,0.5038,0.7935,0.6333,0.4932
300871,0.3973,0.7917,0.6523,0.5118
000966,0.4837,0.7917,0.6425,0.4152
688793,0.3001,0.7917,0.6838,0.5588
605056,0.3278,0.7917,0.6176,0.6339
300726,0.4905,0.7917,0.6303,0.5449
603167,0.4575,0.7912,0.8666,0.5579
600698,0.4332,0.7909,0.6352,0.5865
600348,0.3964,0.7903,0.7466,0.5203
603016,0.459,0.7895,0.602,0.5675
000584,0.4576,0.7893,0.6487,0.4874
300779,0.4585,0.7891,0.6359,0.4683
603599,0.4767,0.7891,0.6415,0.5623
601139,0.4704,0.7891,0.6346,0.5908
688669,0.3022,0.7885,0.6981,0.5772
603200,0.4979,0.7882,0.6061,0.5843
002808,0.4466,0.788,0.6729,0.5133
600850,0.457,0.7877,0.65,0.5005
000863,0.4605,0.7875,0.6666,0.5126
688356,0.4064,0.7875,0.6926,0.5754
