code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
300631,0.4438,0.8018,1.0423,0.5008
002255,0.4211,0.8018,0.7314,0.5832
603416,0.4384,0.8007,0.9394,0.5382
603660,0.4296,0.8004,0.759,0.4674
688501,0.3066,0.8,0.6937,0.4643
002679,0.4173,0.8,0.8818,0.4224
605599,0.2494,0.8,0.751,0.4865
601126,0.4105,0.8,0.8613,0.4872
605287,0.2946,0.8,0.7378,0.4984
601999,0.4428,0.8,0.6743,0.4458
000695,0.4671,0.8,0.7938,0.4098
600066,0.4512,0.7985,0.6964,0.5291
603667,0.4073,0.7982,0.7227,0.5644
605099,0.335,0.7981,0.8216,0.3934
300948,0.3528,0.7976,0.6905,0.5346
600776,0.4302,0.797,0.8363,0.4371
000712,0.4046,0.797,0.6795,0.4876
688157,0.3252,0.7963,0.8824,0.5421
002480,0.4355,0.7963,0.6511,0.6435
300868,0.3809,0.7958,0.8302,0.5842
002976,0.4441,0.7957,0.7005,0.4469
688500,0.5185,0.7955,0.6571,0.5454
002749,0.4122,0.7951,0.7794,0.4299
300877,0.4352,0.7939,0.6349,0.4239
300674,0.4517,0.7932,1.1237,0.5695
601898,0.4135,0.7932,0.5084,0.7271
600876,0.4129,0.793,0.7935,0.5164
002877,0.4207,0.7926,0.6384,0.6813
002408,0.4637,0.7924,0.9004,0.4827
600301,0.453,0.7917,0.6414,0.6001
002988,0.4401,0.7917,0.8286,0.5329
600731,0.4265,0.7917,0.7314,0.5148
601963,0.3814,0.7912,0.7057,0.5123
002213,0.4183,0.7899,0.6952,0.6129
300450,0.5039,0.7895,0.6298,0.5727
000010,0.4223,0.7891,0.8769,0.4703
600316,0.4422,0.7875,0.7764,0.5053
688215,0.37,0.7875,1.1665,0.5008
688609,0.3685,0.7875,0.8985,0.5498
603682,0.4672,0.7875,0.782,0.5384
300779,0.4289,0.7873,1.4272,0.4103
605001,0.4267,0.7869,0.7961,0.4807
300406,0.4307,0.7862,0.8335,0.5305
001210,0.2266,0.7857,1.0248,0.3773
300881,0.3882,0.7857,0.8297,0.5542
300840,0.3385,0.7857,0.7315,0.5263
301005,0.3344,0.7857,0.6249,0.5696
002588,0.4094,0.7854,0.7923,0.6156
601208,0.4512,0.7839,0.715,0.408
000828,0.4525,0.7836,0.6047,0.6318
600706,0.4835,0.7836,0.6722,0.4403
300577,0.483,0.7826,0.9638,0.5053
300430,0.4489,0.7826,0.8968,0.5354
300852,0.4449,0.7825,0.6593,0.4824
603711,0.4522,0.782,0.6939,0.4982
000563,0.4245,0.7818,0.7637,0.4998
603322,0.4172,0.7808,0.6301,0.5426
002292,0.4448,0.7808,0.9567,0.4712
000659,0.4641,0.7808,0.6171,0.521
002498,0.4523,0.7808,0.6421,0.4804
300254,0.4476,0.7805,0.8408,0.4658
603022,0.4995,0.7802,0.7122,0.3967
605180,0.3175,0.78,0.7571,0.6208
600685,0.5046,0.78,0.6341,0.6104
603595,0.4786,0.7796,0.6165,0.6283
688338,0.4198,0.7794,0.839,0.4867
600651,0.4872,0.7782,0.7128,0.4727
601128,0.4608,0.7782,0.6627,0.5939
601669,0.4169,0.7782,0.8679,0.4871
600475,0.4343,0.7782,0.6066,0.6074
603811,0.4252,0.7778,0.8241,0.5644
605289,0.3299,0.7778,0.6359,0.479
000883,0.4085,0.7778,0.8055,0.5133
600929,0.4719,0.7771,0.7225,0.6149
300922,0.4155,0.7769,0.6192,0.5317
300497,0.4154,0.7765,0.779,0.4696
300261,0.3806,0.7764,0.9373,0.5065
600664,0.4333,0.7764,0.7763,0.5182
002990,0.4307,0.7759,0.7516,0.5144
000545,0.4353,0.7747,0.6532,0.6139
300152,0.4526,0.7745,0.8439,0.4662
300026,0.4219,0.7745,0.8487,0.2972
300132,0.4978,0.7742,0.617,0.5175
600381,0.4314,0.7741,0.7102,0.5226
688021,0.4429,0.7739,0.6576,0.6381
600393,0.4162,0.7736,1.0657,0.4457
000900,0.4634,0.7736,0.6527,0.5417
601108,0.4268,0.7729,0.7581,0.5041
002817,0.4577,0.772,0.6987,0.3852
600143,0.3896,0.772,0.8447,0.46
000425,0.453,0.7712,0.6568,0.4292
002798,0.5324,0.7709,0.6576,0.3444
601077,0.4251,0.7701,0.6782,0.6203
605186,0.406,0.7698,0.6912,0.6331
300553,0.4424,0.7692,0.8683,0.5267
300935,0.3717,0.7685,0.8211,0.5671
603320,0.4389,0.7685,0.7278,0.5981
002467,0.4336,0.7685,0.8747,0.4954
688466,0.4969,0.7684,0.686,0.6102
000937,0.4271,0.7682,0.8441,0.4915
000926,0.4255,0.7681,0.8005,0.4335
688113,0.2924,0.7679,0.8597,0.5375
688390,0.3965,0.7677,0.6753,0.4549
603773,0.4397,0.7674,0.7358,0.4109
300518,0.4443,0.7673,0.6839,0.5344
600452,0.5207,0.7673,0.6007,0.6287
605319,0.2721,0.7667,0.8602,0.5698
002478,0.4652,0.7667,0.6556,0.6086
